customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0028,Female,0,Yes,No,38,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,21.8,,No
CUST-0029,Female,0,Yes,Yes,67,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),89.88,6017.94,No
CUST-0030,Female,1,Yes,No,32,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),36.91,1186.19,No
CUST-0031,Male,0,Yes,Yes,12,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),26.51,319.06,No
CUST-0032,Male,1,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,22.54,1179.89,No
CUST-0033,Female,1,Yes,No,6,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,Yes,Electronic check,70.99,409.42,Yes
CUST-0034,Female,0,Yes,No,13,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),28.14,368.41,No
CUST-0035,Female,0,No,No,18,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.94,630.12,No
CUST-0036,Male,1,Yes,No,53,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,72.57,3844.11,No
CUST-0037,Female,1,Yes,Yes,19,Yes,No,DSL,Yes,No,Yes,No,No,Yes,Two year,No,Electronic check,56.17,1072.06,No
CUST-0038,Male,0,No,Yes,28,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,66.12,1863.83,Yes
CUST-0039,Male,0,Yes,Yes,23,No,No phone service,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,67.94,1565.72,No
CUST-0040,Male,0,Yes,Yes,62,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,One year,Yes,Credit card (automatic),79.48,4918.34,No
CUST-0041,Male,1,Yes,No,56,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),32.43,1835.23,No
CUST-0042,Male,0,No,No,7,No,No phone service,Fiber optic,Yes,No,No,No,Yes,No,One year,No,Credit card (automatic),53.92,375.68,Yes
CUST-0043,Female,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,103.44,6310.34,No
CUST-0044,Female,0,Yes,Yes,28,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,18.0,497.46,No
CUST-0045,Female,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,35.74,561.1,No
CUST-0046,Female,0,Yes,No,65,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),37.28,2413.27,No
CUST-0047,Female,0,No,Yes,5,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,No,Mailed check,53.55,255.62,No
CUST-0048,Male,0,No,No,57,Yes,No,Fiber optic,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),62.66,3541.52,No
CUST-0049,Female,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),88.41,6010.32,No
CUST-0050,Female,0,No,Yes,27,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,85.59,2321.95,No
CUST-0051,Male,0,No,No,61,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Electronic check,53.09,3228.65,No
CUST-0052,Female,1,Yes,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),22.67,932.39,No
CUST-0053,Male,0,No,Yes,68,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),60.95,4158.46,No
CUST-0054,Female,0,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,28.07,1122.62,No
CUST-0055,Male,1,Yes,No,48,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Two year,Yes,Mailed check,62.95,3010.49,No
CUST-0056,Female,0,Yes,No,48,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),67.19,3209.15,No
CUST-0057,Female,0,Yes,No,70,Yes,Yes,DSL,Yes,Yes,No,Yes,No,Yes,Month-to-month,No,Electronic check,56.66,3965.06,No
CUST-0058,Male,0,No,No,2,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,21.8,44.28,No
CUST-0059,Male,0,Yes,No,9,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.16,674.4,Yes
CUST-0060,Male,0,No,No,34,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,No,No,Month-to-month,No,Mailed check,76.45,2609.99,No
CUST-0061,Male,0,No,Yes,1,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,56.53,71.5,No
CUST-0062,Male,0,No,No,23,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Mailed check,54.33,1254.32,No
CUST-0063,Male,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,91.23,3380.77,Yes
CUST-0064,Male,0,No,No,21,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,74.03,,No
CUST-0065,Male,0,No,Yes,25,Yes,Yes,DSL,Yes,No,Yes,No,Yes,No,Two year,No,Credit card (automatic),69.45,1736.2,No
CUST-0066,Female,0,No,No,42,Yes,No,DSL,No,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),36.08,1519.48,No
CUST-0067,Female,0,Yes,Yes,54,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),85.45,4611.13,No
CUST-0068,Male,0,Yes,Yes,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),91.06,3466.89,No
CUST-0069,Female,1,No,Yes,28,Yes,Yes,DSL,No,Yes,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,53.55,1488.84,No
CUST-0070,Female,0,No,No,19,Yes,No,Fiber optic,No,No,Yes,No,Yes,No,Two year,No,Electronic check,60.82,1148.26,No
CUST-0071,Female,0,Yes,No,40,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,One year,No,Credit card (automatic),55.13,2194.73,No
CUST-0072,Female,0,No,No,53,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,No,Mailed check,66.94,3541.13,No
CUST-0073,Male,0,Yes,Yes,19,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,66.8,1266.33,No
CUST-0074,Female,0,Yes,No,18,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Two year,No,Bank transfer (automatic),89.8,1626.69,Yes
CUST-0075,Male,1,Yes,No,65,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,45.27,2942.96,No
CUST-0076,Female,1,No,No,29,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,37.19,1065.67,No
CUST-0077,Female,0,No,Yes,52,Yes,No,DSL,No,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),31.4,1618.78,No
CUST-0078,Female,1,Yes,No,33,No,No phone service,DSL,Yes,No,Yes,Yes,No,No,Month-to-month,Yes,Credit card (automatic),50.39,1658.71,No
CUST-0079,Male,0,Yes,No,21,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,57.74,1220.88,No
CUST-0080,Female,0,Yes,No,66,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,1202.03,No
CUST-0081,Male,0,Yes,Yes,5,No,No phone service,Fiber optic,No,No,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),54.75,257.84,No
CUST-0082,Female,1,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),68.84,1793.56,No
CUST-0083,Male,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,32.02,284.16,No
CUST-0084,Female,0,Yes,No,72,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,28.32,2035.8,No
CUST-0085,Male,0,No,No,47,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),74.51,3491.33,No
CUST-0086,Male,0,Yes,No,69,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Month-to-month,No,Credit card (automatic),66.69,4599.41,No
CUST-0087,Female,0,No,Yes,58,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.18,1333.35,No
CUST-0088,Male,0,No,No,58,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,25.23,1460.68,No
CUST-0089,Female,0,No,No,1,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,83.65,95.13,No
CUST-0090,Female,0,No,No,28,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),75.6,2123.11,No
CUST-0091,Female,0,No,No,67,No,No phone service,Fiber optic,No,No,No,No,Yes,Yes,Two year,No,Electronic check,61.6,4146.34,No
CUST-0092,Female,0,No,No,64,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,No,One year,Yes,Mailed check,73.33,4698.38,No
CUST-0093,Female,0,Yes,Yes,25,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Two year,Yes,Electronic check,78.4,1961.75,No
CUST-0094,Female,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,29.86,274.27,No
CUST-0095,Female,1,Yes,Yes,52,Yes,Yes,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),49.82,2582.88,No
CUST-0096,Female,0,No,No,58,No,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),46.81,2694.12,No
CUST-0097,Female,0,No,No,21,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,68.34,1443.1,No
CUST-0098,Female,0,Yes,No,50,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,43.92,2178.05,No
CUST-0099,Female,0,No,No,47,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,One year,No,Credit card (automatic),58.4,2756.02,No
CUST-0100,Male,0,Yes,No,20,Yes,No,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,Yes,Electronic check,52.81,1063.71,No
CUST-0101,Male,0,Yes,No,21,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Month-to-month,No,Mailed check,64.93,1355.03,No
CUST-0102,Female,0,Yes,No,29,Yes,No,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),31.86,919.58,No
CUST-0103,Female,0,Yes,Yes,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,431.88,No
CUST-0104,Female,0,No,No,27,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,One year,No,Credit card (automatic),61.39,1648.31,No
CUST-0105,Female,0,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Month-to-month,No,Electronic check,78.62,5037.09,No
CUST-0106,Female,0,Yes,No,44,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,71.05,3132.49,No
CUST-0107,Female,0,No,No,67,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,34.6,2303.77,Yes
CUST-0108,Female,0,No,No,6,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),44.7,259.97,No
CUST-0109,Female,0,Yes,Yes,48,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,72.24,3467.15,No
CUST-0110,Male,0,No,No,8,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,90.64,736.53,No
CUST-0111,Female,0,Yes,Yes,35,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),47.14,1656.42,No
CUST-0112,Male,0,Yes,Yes,0,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Mailed check,75.6,0.0,No
CUST-0113,Female,0,No,Yes,9,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,74.34,666.14,No
CUST-0114,Female,0,No,No,35,Yes,Yes,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,38.81,1363.08,No
CUST-0115,Male,1,No,No,72,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),50.69,3641.68,No
CUST-0116,Female,1,Yes,Yes,45,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,82.79,3716.78,No
CUST-0117,Male,0,Yes,No,31,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,34.12,1050.25,No
CUST-0118,Female,0,No,No,31,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),18.0,554.92,No
CUST-0119,Female,0,No,Yes,5,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,No,Mailed check,45.68,218.61,Yes
CUST-0120,Male,0,No,No,47,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),29.22,1379.94,No
CUST-0121,Female,0,No,No,37,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),21.51,787.26,No
CUST-0122,Male,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),23.47,365.16,No
CUST-0123,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),18.0,464.01,No
CUST-0124,Male,0,Yes,No,53,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Bank transfer (automatic),51.76,2758.07,No
CUST-0125,Male,0,Yes,No,49,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,One year,Yes,Electronic check,60.63,,No
CUST-0126,Female,0,No,No,34,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),71.56,2438.93,No
CUST-0127,Female,0,No,No,24,Yes,Yes,DSL,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,62.45,1501.66,No
CUST-0128,Male,0,No,Yes,27,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,58.83,1578.94,No
CUST-0129,Female,0,Yes,No,14,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),34.76,480.24,No
CUST-0130,Female,0,No,No,3,Yes,Yes,Fiber optic,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,76.57,221.61,No
CUST-0131,Female,0,No,Yes,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),79.04,5701.8,No
CUST-0132,Male,1,Yes,Yes,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,28.88,753.83,No
CUST-0133,Male,0,No,No,25,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),61.39,1518.08,No
CUST-0134,Male,0,Yes,No,18,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Electronic check,63.27,1153.39,No
CUST-0135,Male,0,No,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),31.63,502.76,No
CUST-0136,Male,0,Yes,No,42,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),46.39,1954.91,No
CUST-0137,Male,0,No,Yes,40,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),63.69,2558.12,No
CUST-0138,Male,0,No,No,41,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,20.57,817.75,No
CUST-0139,Male,0,Yes,Yes,49,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,18.0,886.55,No
CUST-0140,Male,0,Yes,No,39,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,18.0,699.47,No
CUST-0141,Female,0,No,No,38,Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,No,Bank transfer (automatic),79.83,3009.32,No
CUST-0142,Male,0,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),23.11,497.09,No
CUST-0143,Female,0,Yes,No,51,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,60.6,3086.05,No
CUST-0144,Female,0,Yes,No,46,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),62.77,2895.88,No
CUST-0145,Female,0,Yes,No,62,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),84.58,5242.2,No
CUST-0146,Male,1,No,No,68,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,62.03,4219.52,No
CUST-0147,Male,0,No,No,42,Yes,No,DSL,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),31.52,1320.28,No
CUST-0148,Male,0,Yes,No,47,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,Yes,Month-to-month,No,Credit card (automatic),68.65,3237.43,No
CUST-0149,Male,0,Yes,No,33,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Electronic check,60.84,2012.93,No
CUST-0150,Female,0,Yes,No,39,Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,One year,No,Electronic check,76.88,2999.95,No
CUST-0151,Male,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,18.05,1071.57,No
CUST-0152,Male,0,No,Yes,49,Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),68.88,3376.32,No
CUST-0153,Male,0,No,No,66,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),27.21,1823.68,No
CUST-0154,Male,0,Yes,No,61,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.91,5492.46,Yes
CUST-0155,Male,0,Yes,Yes,57,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,71.93,4092.62,Yes
CUST-0156,Female,0,Yes,Yes,32,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,84.33,2717.08,No
CUST-0157,Male,0,No,Yes,15,Yes,No,Fiber optic,Yes,Yes,No,Yes,No,No,One year,No,Electronic check,70.54,1050.27,No
CUST-0158,Female,0,Yes,No,47,Yes,No,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,71.21,3354.01,Yes
CUST-0159,Male,0,No,No,9,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),26.53,238.31,No
CUST-0160,Female,0,Yes,No,37,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),56.8,2103.42,No
CUST-0161,Male,0,No,No,18,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Credit card (automatic),70.84,1277.31,No
CUST-0162,Male,1,Yes,No,35,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),88.89,3108.67,No
CUST-0163,Female,0,No,No,58,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,4673.81,No
CUST-0164,Female,0,Yes,No,62,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,49.55,3058.93,No
CUST-0165,Female,0,Yes,No,45,No,No phone service,DSL,No,No,No,Yes,No,Yes,Month-to-month,No,Electronic check,45.27,2025.9,No
CUST-0166,Male,0,Yes,No,2,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),40.57,84.48,No
CUST-0167,Female,0,No,No,64,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),18.53,1179.09,No
CUST-0168,Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,Yes,Mailed check,62.74,430.08,Yes
CUST-0169,Male,0,No,No,50,Yes,No,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Mailed check,63.0,3178.27,No
CUST-0170,Female,0,No,No,72,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,30.05,2188.49,Yes
CUST-0171,Female,0,Yes,No,5,Yes,Yes,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Electronic check,40.14,206.51,No
